latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,art,bezeichnung,traeger_bezeichnung,traeger_art,barrierefrei,oeffnungszeiten,telefon_festnetz,telefon_mobil,email,website
54.0858403786944,12.1358894990105,7a9d0038-4d54-11e4-a8cd-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Hermannstr.,"03550","36",,"18055",Ausleihbibliothek,Umweltbibliothek Rostock,NABU Mittleres Mecklenburg e.V.,gewerblich-privat,,Do 12:00-17:00 oder nach vorheriger Absprache,+49 381 4903162,,umweltbibo@nabu-mittleres-mecklenburg.de,https://www.nabu-mittleres-mecklenburg.de/umweltbibliothek
54.0883249513532,12.1200725851825,7a99639c-4d54-11e4-a8cc-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Leonhardstr.,"06550","20",,"18057",Ausleihbibliothek,Spezialsammlung des rat+tat e.V.,rat+tat Rostock e.V.,gewerblich-privat,,,+49 381 453156,,post@ratundtat-rostock.de,https://ratundtat-rostock.de/
54.0821608487764,12.1376164978465,8623ecfa-494e-11e4-b78b-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Am Reifergraben,"00490","4",,"18055",Präsenzbibliothek,Universitätsbibliothek Rostock – Wossidlo-Archiv,Land Mecklenburg-Vorpommern,öffentlich,"0",nur nach vorheriger Absprache,+49 381 4988701,,stefan.siebert@uni-rostock.de,https://www.ub.uni-rostock.de/standorte-einrichtungen/richard-wossidlo-zentrum/wossidlo-archiv/
54.087312319458,12.1332493938219,8eac7edc-4971-11e4-9bfd-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Klosterhof,"06090","3",,"18055",Präsenzbibliothek,Kempowski Archiv Rostock,Ein bürgerliches Haus e.V.,gewerblich-privat,,Di-So 14:00-17:00,+49 381 2037540,,kempowski-archiv-rostock@t-online.de,https://kempowski-archiv-rostock.de/
54.0813078214126,12.1279291586058,9cfb1aca-496c-11e4-9bfb-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Goetheplatz,"02960","5",,"18055",Präsenzbibliothek,Mediathek des Instituts franco-allemand de Rostock,Institut franco-allemand de Rostock e.V.,gewerblich-privat,,,+49 381 455007,,info@ifa-rostock.de,https://www.institutfrancais.de/rostock/mediathek-rostock
54.0972048964665,12.1061727174435,1e79a53c-4966-11e4-9bf7-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Neptunallee,"88450","5",,"18057",Ausleihbibliothek,Bibliothek des Bundesamtes für Seeschifffahrt und Hydrographie,Bundesrepublik Deutschland,öffentlich,,"Mo,Mi,Do 08:30-11:30,13:00-15:00; Fr 08:30-11:30,13:00-14:00",+49 381 4563601,,bibliothek.rostock@bsh.de,https://www.bsh.de/DE/Das_BSH/Maritime_Fachbibliothek/maritime_fachbibliothek_node.html
54.0885534357973,12.1367173685473,860aed90-494e-11e4-b784-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Kröpeliner Str.,"06290","82",,"18055",Ausleihbibliothek,Stadtbibliothek Rostock – Zentralbibliothek,Hanse- und Universitätsstadt Rostock,öffentlich,"1","Mo,Di,Do,Fr 10:00-18:00; Mi 12:00-18:00; Sa 10:00-14:00",+49 381 3812840,,stadtbibliothek@rostock.de,https://www.stadtbibliothek-rostock.de//
54.1781846869928,12.0793144215874,8618a476-494e-11e4-b788-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Kurhausstr.,"06350","17",,"18119",Ausleihbibliothek,Stadtbibliothek Rostock – Kurbibliothek Warnemünde,Hanse- und Universitätsstadt Rostock,öffentlich,,"Mo,Do 10:00-12:00,13:00-18:00",+49 381 5191160,,,https://www.stadtbibliothek-rostock.de/de/standorte/
54.0990261636003,12.0793990347276,860e350e-494e-11e4-b785-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Reutershagen,"0013",Ernst-Thälmann-Str.,"02240","27",,"18069",Ausleihbibliothek,Stadtbibliothek Rostock – Stadtteilbibliothek Reutershagen,Hanse- und Universitätsstadt Rostock,öffentlich,"0","Mo,Di,Fr 10:00-12:00,13:00-18:00",+49 381 3812855,,,https://www.stadtbibliothek-rostock.de/de/standorte/
54.084226028766,12.1127920248932,8630b03e-494e-11e4-b78f-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Parkstr.,"07490","6",,"18057",Ausleihbibliothek,Universitätsbibliothek Rostock – Patent- und Normenzentrum,Land Mecklenburg-Vorpommern,öffentlich,,"Mo 10:00-12:00,13:00-16:00; Di 09:00-12:00,13:00-18:00; Mi,Do 09:00-12:00,13:00-16:00; Fr nach Vereinbarung",+49 381 4988671,,patente@uni-rostock.de,https://www.ub.uni-rostock.de/standorte-einrichtungen/patent-und-normenzentrum/das-patent-und-normenzentrum/
